Rep	Prob	FixTime	Age	Height	rLambda
100	0.2	na	20.243704	12.31	0.18821429
101	0.2	na	8.004617	10.83	0.12571429
102	0.2	na	5.614634	10.25	NaN
103	0.2	na	28.656046	12.24	0.20000002
104	0.2	na	8.011194	10.72	0.08571429
105	0.2	na	25.538084	12.21	0.22160715
106	0.2	na	29.932287	12.11	0.2047619
107	0.2	1663.0	203.42667	0.75	0.19997591
108	0.2	na	27.99022	12.27	0.20255955
109	0.2	na	22.746109	12.21	0.19761904
110	0.2	na	29.5444	12.05	0.19817142
111	0.2	na	22.84955	12.23	0.17971428
112	0.2	na	27.219553	12.07	0.18071428
113	0.2	1518.0	212.39622	0.53	0.19787364
114	0.2	na	25.931911	12.19	0.18632653
115	0.2	na	27.722591	12.04	0.18142857
116	0.2	na	29.067768	12.1	0.20697889
117	0.2	na	26.093801	12.26	0.1920408
118	0.2	na	29.53747	12.41	0.20128572
119	0.2	na	24.277641	12.21	0.21040818
120	0.2	na	27.688364	12.29	0.19414285
121	0.2	1912.0	305.44446	0.09	0.18777084
122	0.2	na	4.6218953	10.87	NaN
123	0.2	1616.0	165.28226	1.24	0.20114408
124	0.2	na	11.546329	11.44	0.185
125	0.2	na	16.67335	11.97	0.17142858
126	0.2	na	15.594525	11.69	0.17333333
127	0.2	na	24.823141	12.1	0.1989796
128	0.2	na	5.5569973	10.79	NaN
129	0.2	na	12.740137	11.66	0.18285714
130	0.2	na	23.127993	12.11	0.18685715
131	0.2	1518.0	132.40317	2.53	0.20796576
132	0.2	na	16.172705	11.87	0.15428571
133	0.2	na	26.921824	12.28	0.17126983
134	0.2	na	25.791094	12.35	0.19410713
135	0.2	na	10.880995	11.26	0.11857142
136	0.2	na	7.2346263	10.57	0.13857143
137	0.2	na	23.656172	12.07	0.20309524
138	0.2	na	3.823694	10.72	NaN
139	0.2	na	20.399178	12.15	0.20285714
140	0.2	na	12.084421	11.49	0.14571428
141	0.2	na	22.241295	12.35	0.19742857
142	0.2	na	2.913534	10.64	NaN
143	0.2	na	17.788698	12.21	0.1747619
144	0.2	na	14.182979	11.75	0.14
145	0.2	na	26.870626	12.29	0.18761905
146	0.2	na	27.002499	12.01	0.19803572
147	0.2	na	17.02625	12.19	0.1904762
148	0.2	na	24.187813	11.98	0.18976192
149	0.2	na	11.005377	11.16	0.14999999
150	0.2	na	23.350878	11.97	0.1992857
151	0.2	na	28.309801	12.04	0.20500001
152	0.2	na	24.569777	12.11	0.19976193
153	0.2	na	27.650331	12.04	0.19539681
154	0.2	na	27.505367	12.11	0.17685714
155	0.2	na	7.2136106	10.58	0.12142857
156	0.2	na	22.167076	12.21	0.22085714
157	0.2	na	24.629112	12.16	0.19142857
158	0.2	na	13.115351	11.27	0.16142857
159	0.2	na	21.854826	12.33	0.18514284
160	0.2	na	7.1469502	10.82	0.12142857
161	0.2	na	18.049028	11.83	0.19476192
162	0.2	na	22.323051	12.32	0.23485713
163	0.2	1974.0	273.75	0.2	0.19171725
164	0.2	na	8.077294	10.35	0.052857142
165	0.2	1568.0	236.27272	0.66	0.19922188
166	0.2	na	12.88676	11.48	0.14571428
167	0.2	na	27.983713	12.28	0.20104763
168	0.2	na	8.800182	10.96	0.061428573
169	0.2	na	26.979183	12.01	0.20000002
170	0.2	na	7.157553	10.79	0.09857143
171	0.2	na	10.165187	11.26	0.10428572
172	0.2	na	25.772268	11.9	0.20183674
173	0.2	na	22.803953	12.14	0.19171429
174	0.2	na	22.298944	12.31	0.18371427
175	0.2	na	20.61482	12.28	0.19214286
176	0.2	1760.0	388.77777	0.18	0.18550937
177	0.2	1800.0	205.04651	0.86	0.20237356
178	0.2	na	25.89694	12.42	0.18767856
179	0.2	na	6.3852773	10.46	0.16571428
180	0.2	1760.0	241.0	0.43	0.19685256
181	0.2	na	28.768007	11.94	0.1926623
182	0.2	na	8.082552	10.66	0.15714286
183	0.2	na	25.928339	12.28	0.18714285
184	0.2	na	24.539669	12.1	0.18142857
185	0.2	na	5.6510515	10.46	NaN
186	0.2	na	17.344221	11.94	0.18
187	0.2	na	6.381629	10.56	0.13285714
188	0.2	na	28.699585	12.05	0.19142857
189	0.2	na	3.845057	10.52	NaN
190	0.2	na	19.566084	12.03	0.19928572
191	0.2	na	11.346831	11.36	0.1657143
192	0.2	na	30.304098	12.2	0.19801241
193	0.2	1432.0	136.91304	1.84	0.20549023
194	0.2	na	28.163637	12.1	0.20306122
195	0.2	1861.0	476.625	0.08	0.1758969
196	0.2	na	7.923361	10.83	0.09857143
197	0.2	na	14.337308	11.74	0.15714285
198	0.2	na	12.778157	11.72	0.1657143
199	0.2	na	29.399343	12.17	0.19844157
200	0.2	na	20.85008	12.34	0.17607144
1	0.3	na	22.036066	12.2	0.16457143
2	0.3	na	24.990902	12.09	0.18693876
3	0.3	na	25.033773	12.14	0.17666668
