Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
340	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
341	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
342	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
343	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
344	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
345	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
346	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
347	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
348	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
349	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
350	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
351	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
352	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
353	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
354	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
355	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
356	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
357	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
358	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
359	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
360	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
361	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
362	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
363	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
364	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
365	3D	1	0.9025423	0.823848809	0.752904281	0.689039632	0.631653141	0.580204704	0.53421063	0.493238972	0.456905356	0.424869276	0.396830832	0.372527868	0.351733479	0.334253866	0.319926513	0.308618658	0.30022606	0.294672034	0.291906738
1	2D	1	0.787952741	0.596748923	0.432983671	0.300201076	0.198489494	0.124966038	0.074835824	0.042597379	0.023037531	0.011835853	0.005776844	0.002679131	0.001180995	4.95E-04	1.97E-04	7.50E-05	2.72E-05	9.62E-06	4.03E-06
2	2D	1	0.837965504	0.689978952	0.557422639	0.441264455	0.341881414	0.258986814	0.191659744	0.138457773	0.097582094	0.067060749	0.044919363	0.029317737	0.018641613	0.011549089	0.006978667	0.004129957	0.002429012	0.001488981	0.00107434
3	2D	1	0.858074195	0.728647884	0.611755407	0.507381063	0.415381899	0.335436412	0.267021521	0.209416656	0.161730789	0.122946131	0.091971185	0.067696056	0.049044015	0.03501506	0.024719237	0.017399357	0.012444317	0.009395194	0.007946737
4	2D	1	0.868932315	0.749775876	0.642030264	0.545245209	0.458977639	0.382758539	0.31607084	0.258338574	0.208926633	0.167149636	0.132287916	0.103608294	0.080387351	0.061935093	0.047617333	0.036875573	0.02924366	0.024360908	0.021981699
5	2D	1	0.875647801	0.762927268	0.661078335	0.569429042	0.487367004	0.414315885	0.34971744	0.293019352	0.243668778	0.201111158	0.164793611	0.134172032	0.108720882	0.087944661	0.071390066	0.058657962	0.049414403	0.043400099	0.040437892
6	2D	1	0.880156496	0.771794941	0.674014589	0.586020173	0.507100381	0.436609516	0.373952553	0.318573743	0.269948695	0.227579789	0.190994586	0.15974684	0.133419579	0.111629732	0.094033706	0.080333357	0.070281852	0.063688931	0.060425209
7	2D	1	0.883367376	0.778130783	0.68330816	0.598031823	0.521530651	0.453114623	0.392161766	0.338107553	0.290436681	0.248677126	0.212396292	0.181199003	0.154727056	0.132660006	0.114716836	0.100658178	0.090288736	0.083459628	0.080070381
8	2D	1	0.88576275	0.782869858	0.69029009	0.60711144	0.532525367	0.465812967	0.406333055	0.353512118	0.306836061	0.265843655	0.230121546	0.199300667	0.173053858	0.151094505	0.133175957	0.119091527	0.108674862	0.101800487	0.098384369
9	2D	1	0.8876177	0.786547414	0.695726972	0.614216163	0.541182139	0.475886537	0.417674223	0.365963603	0.320238402	0.280040816	0.244965925	0.214657248	0.188803299	0.167135018	0.149423911	0.135480782	0.125154905	0.118333528	0.11494159
10	2D	1	0.889096874	0.789484687	0.700081002	0.619926912	0.54817312	0.484067614	0.426944807	0.376216076	0.331361576	0.291923251	0.257498932	0.227737423	0.202334473	0.181029522	0.163603138	0.149875018	0.139702487	0.132979403	0.129635397
11	2D	1	0.890302861	0.791882334	0.703642126	0.624610393	0.55392622	0.490827617	0.434640908	0.384771408	0.340695275	0.301952456	0.26814062	0.238909988	0.213958985	0.193030614	0.17590949	0.162419439	0.152421618	0.145813082	0.142525752
12	2D	1	0.891302188	0.793870816	0.706599701	0.628507654	0.558725203	0.496482783	0.441100279	0.391977791	0.348587525	0.31046671	0.277211444	0.248471398	0.22394529	0.203377055	0.186552658	0.173297472	0.163474187	0.156981186	0.153751366
13	2D	1	0.892139853	0.795538619	0.709082758	0.631784059	0.562766505	0.501254591	0.446562959	0.39808723	0.35529592	0.317723355	0.284963476	0.256664479	0.232524192	0.212286141	0.195736244	0.182700066	0.173040611	0.166656597	0.163481195
14	2D	1	0.892847642	0.796948417	0.711183114	0.634558057	0.566192067	0.505304856	0.451206728	0.403289456	0.361018221	0.323924532	0.291600019	0.263691038	0.239894009	0.219951422	0.203648465	0.190810221	0.181299396	0.175014539	0.171888732
15	2D	1	0.893448966	0.79814649	0.712968857	0.636918018	0.569108619	0.508756449	0.455168178	0.407732272	0.365910953	0.329233128	0.297288181	0.269720566	0.246225125	0.226543066	0.210458562	0.197795916	0.188417254	0.182220717	0.179139134
16	2D	1	0.893961729	0.799168308	0.714492359	0.638932262	0.571599225	0.511705767	0.458555492	0.411534024	0.370100992	0.333782962	0.302167241	0.274896467	0.251663914	0.232209472	0.216316219	0.203807578	0.194544994	0.188426114	0.185383438
17	2D	1	0.894400058	0.800041907	0.715795138	0.640655171	0.573730342	0.514230421	0.461456408	0.414791487	0.373693026	0.337685523	0.306354418	0.279340681	0.256336127	0.237079381	0.221352459	0.208977909	0.199816488	0.19376533	0.190756599
18	2D	1	0.894775378	0.800789988	0.71691089	0.642131016	0.575556284	0.516394136	0.463943351	0.417585017	0.376774544	0.34103462	0.309949031	0.283157258	0.260349793	0.241264106	0.225681226	0.213422886	0.204349188	0.198356781	0.195377506
19	2D	1	0.895097098	0.801431273	0.717867444	0.643396441	0.577122132	0.518249979	0.466076862	0.419982069	0.379419318	0.343909722	0.313035621	0.286435182	0.263797723	0.24485968	0.229401196	0.217243261	0.208245387	0.202303777	0.199349975
20	2D	1	0.895373075	0.801981397	0.71868807	0.644482137	0.57846572	0.519842589	0.467908002	0.422039698	0.381689935	0.346378465	0.31568637	0.289250669	0.266759646	0.247948832	0.232597582	0.220526229	0.211593755	0.205695966	0.202764141
21	2D	1	0.895609926	0.80245354	0.719392399	0.645414022	0.57961904	0.521209776	0.469480096	0.423806409	0.383639717	0.348498596	0.317963037	0.291669063	0.269304061	0.250602766	0.235343846	0.223347056	0.214470913	0.208610874	0.205697983
22	2D	1	0.895813262	0.802858881	0.719997092	0.646214109	0.580609288	0.522383714	0.470830055	0.425323583	0.385314216	0.350319516	0.319918533	0.293746428	0.271489811	0.252882724	0.237703239	0.225770607	0.216942941	0.211115389	0.208218793
23	2D	1	0.895987863	0.803206943	0.720516344	0.646901163	0.581459664	0.523391868	0.471989419	0.426626607	0.386752422	0.351883551	0.321598234	0.295530887	0.273367448	0.254841362	0.239730182	0.227852725	0.219066749	0.21326714	0.21038456
24	2D	1	0.89613781	0.803505861	0.720962285	0.647491225	0.582190005	0.524257735	0.47298518	0.427745788	0.387987747	0.353226995	0.323041073	0.297063756	0.2749804	0.256523937	0.241471473	0.229641446	0.220891312	0.215115726	0.212245195
25	2D	1	0.896266596	0.803762595	0.721345298	0.647998025	0.582817299	0.525001445	0.473840473	0.428707107	0.389048849	0.354380991	0.32428047	0.298380513	0.276365976	0.257969345	0.242967341	0.231178078	0.222458748	0.216703808	0.213843634
26	2D	1	0.896377213	0.803983111	0.72167428	0.648433336	0.58335611	0.525640258	0.474575139	0.429532856	0.389960321	0.355372268	0.325345122	0.299511632	0.277556224	0.259211004	0.24425236	0.232498124	0.223805265	0.218068068	0.215216794
27	2D	1	0.896472229	0.804172525	0.721956863	0.648807253	0.583818934	0.526188984	0.475206206	0.430242167	0.390743273	0.356223782	0.326259672	0.300483286	0.278578679	0.26027763	0.245356239	0.2336321	0.224961985	0.219240033	0.216396406
28	2D	1	0.896553846	0.804335229	0.722199597	0.649128443	0.584216495	0.526660335	0.475748289	0.430851465	0.391415833	0.35695524	0.327045284	0.301317955	0.279456993	0.261193891	0.246304507	0.234606224	0.22595565	0.220246795	0.217409739
29	2D	1	0.896623954	0.80447499	0.722408105	0.649404344	0.584557999	0.527065227	0.476213941	0.431374857	0.391993569	0.357583573	0.327720138	0.302034953	0.280211484	0.261980983	0.247119094	0.235443026	0.226809238	0.221111636	0.218280224
