Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
11	3D	1	0.820045181	0.673866957	0.556514517	0.456339143	0.376591747	0.312498551	0.26112707	0.220259062	0.188156388	0.163495205	0.145137958	0.129876669	0.118644444	0.109061154	0.101292967	0.095310286	0.091068085	0.088534536	0.087691901
12	3D	1	0.819863376	0.672955473	0.553330373	0.456140625	0.377405524	0.314184654	0.26397867	0.221807285	0.18950146	0.1648484	0.146491535	0.132939163	0.121575042	0.112251875	0.104798346	0.099090115	0.095053104	0.092645283	0.091844926
13	3D	1	0.820891872	0.673572527	0.553753972	0.456545019	0.378053128	0.315964028	0.263664202	0.222625831	0.190358137	0.165693025	0.147004208	0.133679249	0.122931856	0.114203726	0.107218136	0.101849787	0.098041658	0.095765777	0.095008534
14	3D	1	0.82016501	0.673457407	0.553840679	0.456562765	0.377689589	0.314014144	0.262916779	0.222399205	0.190818715	0.166000841	0.147504677	0.133875255	0.123850856	0.115644182	0.109012342	0.103891679	0.100252276	0.098075753	0.097351428
15	3D	1	0.820175918	0.673583522	0.554269827	0.45734678	0.378535985	0.314870182	0.263702472	0.223082221	0.191377654	0.167185244	0.148994968	0.135523941	0.124526604	0.1168337	0.110420791	0.105449496	0.101916481	0.0998047	0.099102159
16	3D	1	0.820294702	0.673797379	0.554325856	0.457223517	0.378587583	0.315162165	0.26420428	0.22373709	0.192128613	0.168036277	0.15042556	0.136772218	0.126128472	0.117991335	0.111569853	0.106660724	0.103189205	0.101118696	0.100430488
17	3D	1	0.821335321	0.677961773	0.555502533	0.457832694	0.378951418	0.315179636	0.264097386	0.223613942	0.192090763	0.168569658	0.149620287	0.135824862	0.125479486	0.118206011	0.112087616	0.107346102	0.103982998	0.10197574	0.101308441
18	3D	1	0.821206275	0.674288055	0.554934506	0.457778855	0.37878031	0.31502243	0.263908135	0.223397094	0.191820894	0.167374281	0.149099445	0.135453739	0.126181577	0.118523924	0.112414103	0.107746654	0.104452182	0.102489707	0.101837775
19	3D	1	0.820012056	0.673428531	0.554129262	0.457512933	0.38065394	0.315424692	0.264011065	0.223302925	0.191601995	0.168065142	0.149660184	0.135428593	0.126063639	0.118443989	0.112422309	0.107844966	0.104621595	0.102703507	0.102066588
20	3D	1	0.820007644	0.673509627	0.554463972	0.456873339	0.377955817	0.314580045	0.264779474	0.223027279	0.190999782	0.166210742	0.147669523	0.134372235	0.125271764	0.117920963	0.11211992	0.107692021	0.104562056	0.102695141	0.102074539
21	3D	1	0.819846078	0.673075517	0.553558046	0.456362512	0.377543697	0.313783041	0.262624	0.221977987	0.190131167	0.165929972	0.148727372	0.135250418	0.124736802	0.117726244	0.111986983	0.107580271	0.10446592	0.102610226	0.101993749
22	3D	1	0.820701943	0.675128263	0.555858637	0.457791954	0.378334325	0.314249552	0.262802736	0.221910986	0.189860979	0.165224896	0.146772003	0.133369173	0.124188272	0.117017529	0.11142017	0.107155576	0.104140943	0.102342468	0.101744554
23	3D	1	0.820456697	0.674482695	0.554612578	0.457212683	0.378304687	0.314344267	0.263023312	0.222263275	0.190191857	0.165483222	0.146781497	0.133388738	0.123548001	0.116223374	0.110757467	0.106600552	0.103656459	0.101897852	0.101312879
24	3D	1	0.820454549	0.674213589	0.555140313	0.458238269	0.379421991	0.315206125	0.263843846	0.222991184	0.190605357	0.165689715	0.146795583	0.132770485	0.122563157	0.115818038	0.110344	0.106149717	0.103185806	0.101419599	0.100832841
25	3D	1	0.820099855	0.673557523	0.5542576	0.457303879	0.378692343	0.315335114	0.263795927	0.223012098	0.191290505	0.166448298	0.147929979	0.133674441	0.122439092	0.114874216	0.109862941	0.105728986	0.102752897	0.100970986	0.100378372
