Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
55	3D	1	0.826370713	0.697585747	0.58958872	0.499390079	0.424155375	0.361201873	0.308930524	0.265909617	0.230871964	0.202712234	0.180424995	0.163419238	0.151178375	0.142966752	0.136552203	0.131636361	0.128037353	0.125670201	0.124494647
56	3D	1	0.826141616	0.697248204	0.589506159	0.499175481	0.423753385	0.360901633	0.308674373	0.265669882	0.230622844	0.202453197	0.180254162	0.163306816	0.151463435	0.142118042	0.136449058	0.131646678	0.128080297	0.125723024	0.124550314
57	3D	1	0.826528827	0.697686608	0.589915779	0.499885449	0.424833117	0.361777344	0.309083629	0.26590801	0.230816523	0.202666604	0.180584662	0.163318267	0.15093759	0.142738106	0.13648144	0.131655956	0.128105969	0.125765021	0.124601047
58	3D	1	0.826863676	0.698101961	0.590342193	0.500311345	0.425491148	0.364623202	0.31171027	0.266711344	0.231258514	0.202953576	0.180386264	0.163253947	0.151127145	0.141539761	0.135852215	0.131181345	0.127749564	0.125487824	0.124363099
59	3D	1	0.826935343	0.698054115	0.590044101	0.499667334	0.424266172	0.361524815	0.309502787	0.2665821	0.231149438	0.202595282	0.180064736	0.162963993	0.151040707	0.141278304	0.135822492	0.131184522	0.127729273	0.125438922	0.124297227
60	3D	1	0.826794761	0.698691845	0.593652525	0.500728777	0.425253413	0.362221231	0.310043325	0.267093402	0.232804238	0.203135832	0.180426912	0.163080783	0.150059738	0.141055007	0.135785189	0.13124476	0.127828282	0.125550109	0.124411268
61	3D	1	0.826411865	0.697663011	0.589705833	0.499598934	0.424756206	0.363810146	0.31024934	0.268251936	0.231783701	0.203385306	0.181648966	0.163427053	0.150573415	0.141951504	0.135165048	0.131252276	0.1279224	0.125671922	0.124542038
62	3D	1	0.8261124	0.697183945	0.589491157	0.499688564	0.42392038	0.361012136	0.308937641	0.266086652	0.231143888	0.202996309	0.180747582	0.163636147	0.151540723	0.142017898	0.136318542	0.131706502	0.128235564	0.125922395	0.124766849
63	3D	1	0.826374579	0.697589683	0.589770506	0.499593847	0.42390787	0.361002581	0.308937822	0.266095181	0.231264133	0.20393772	0.180594733	0.16325744	0.150512712	0.141569658	0.135976072	0.131335646	0.127948245	0.125782669	0.124695959
64	3D	1	0.826628155	0.698368059	0.590050019	0.499226604	0.423629149	0.360847476	0.308831681	0.265924393	0.23094198	0.202811058	0.180580091	0.163526214	0.151001325	0.142108814	0.136487937	0.131759625	0.12825675	0.12594138	0.124788981
65	3D	1	0.825889508	0.696733426	0.58872877	0.498502057	0.423343642	0.360790138	0.308449432	0.265553803	0.230714901	0.20281353	0.180615302	0.16416729	0.150937077	0.142448486	0.13617168	0.13149986	0.128059861	0.125782688	0.124647739
66	3D	1	0.826338843	0.697509504	0.589314715	0.498735929	0.423235987	0.36049746	0.308435025	0.265484403	0.230444441	0.202257965	0.18007269	0.163129309	0.150918754	0.14268715	0.136209161	0.131489701	0.128002112	0.125693282	0.124542796
67	3D	1	0.826279783	0.697430229	0.589729959	0.499692872	0.423927873	0.361003235	0.309041811	0.2662711	0.230995033	0.202600258	0.180165936	0.163068117	0.150351193	0.141214025	0.135841397	0.131246328	0.127817061	0.125543928	0.124411317
68	3D	1	0.826639226	0.698063776	0.589786693	0.499245199	0.423718304	0.360878322	0.308860544	0.266065589	0.231122336	0.203123776	0.180742856	0.16397926	0.150473279	0.141846565	0.135787484	0.131101504	0.127635456	0.125343436	0.124202572
69	3D	1	0.831696245	0.699844655	0.591295982	0.500478592	0.424364462	0.3612179	0.309051642	0.266144727	0.230835769	0.202297547	0.179708271	0.162339543	0.149540183	0.140817575	0.135359398	0.130731273	0.127308225	0.125043146	0.123914282
